,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,day_added,duration_value,duration_unit,tags
31,s32,tv show,Chicago Party Aunt,unknown,lauren ash  rory o'malley  rupaul charles  jill talley  ike barinholtz  jon barinholtz  matthew craig  bob odenkirk  mike hagerty  katie rich  chris witaske,Unknown,2021-09-17,2021,TV-MA,1 Season,['tv comedies'],chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021,September,17,1.0,Season,['tv comedies'] ['tv comedies'] lauren ash rory o'malley rupaul charles jill talley ike barinholtz jon barinholtz matthew craig bob odenkirk mike hagerty katie rich chris witaske unknown chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew. tv show
32,s33,tv show,Sex Education,unknown,asa butterfield  gillian anderson  ncuti gatwa  emma mackey  connor swindells  kedar williams-stirling  alistair petrie,United Kingdom,2021-09-17,2020,TV-MA,3 Seasons,['british tv shows'  'international tv shows'  'tv comedies'],insecure otis has all the answers when it comes to sex advice  thanks to his therapist mom. so rebel maeve proposes a school sex-therapy clinic.,2021,September,17,3.0,Seasons,['british tv shows' 'international tv shows' 'tv comedies'] ['british tv shows' 'international tv shows' 'tv comedies'] asa butterfield gillian anderson ncuti gatwa emma mackey connor swindells kedar williams-stirling alistair petrie unknown insecure otis has all the answers when it comes to sex advice thanks to his therapist mom. so rebel maeve proposes a school sex-therapy clinic. tv show
33,s34,tv show,Squid Game,unknown,lee jung-jae  park hae-soo  wi ha-jun  oh young-soo  jung ho-yeon  heo sung-tae  kim joo-ryoung  tripathi anupam  you seong-joo  lee you-mi,Unknown,2021-09-17,2021,TV-MA,1 Season,['international tv shows'  'tv dramas'  'tv thrillers'],hundreds of cash-strapped players accept a strange invitation to compete in children's games. inside  a tempting prize awaits — with deadly high stakes.,2021,September,17,1.0,Season,['international tv shows' 'tv dramas' 'tv thrillers'] ['international tv shows' 'tv dramas' 'tv thrillers'] lee jung-jae park hae-soo wi ha-jun oh young-soo jung ho-yeon heo sung-tae kim joo-ryoung tripathi anupam you seong-joo lee you-mi unknown hundreds of cash-strapped players accept a strange invitation to compete in children's games. inside a tempting prize awaits — with deadly high stakes. tv show
34,s35,tv show,Tayo and Little Wizards,unknown,dami lee  jason lee  bommie catherine han  jennifer waescher  nancy kim,Unknown,2021-09-17,2020,TV-Y7,1 Season,"[""kids' tv""]",tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021,September,17,1.0,Season,"[""kids' tv""] [""kids' tv""] dami lee jason lee bommie catherine han jennifer waescher nancy kim unknown tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone. tv show"
35,s36,movie,The Father Who Moves Mountains,daniel sandu,adrian titieni  elena purea  judith state  valeriu andriuță  tudor smoleanu  virgil aioanei  radu botar  petronela grigorescu  bogdan nechifor  cristian bota,Unknown,2021-09-17,2021,TV-MA,110 min,['dramas'  'international movies'  'thrillers'],when his son goes missing during a snowy hike in the mountains  a retired intelligence officer will stop at nothing — and risk everything — to find him.,2021,September,17,110.0,min,['dramas' 'international movies' 'thrillers'] ['dramas' 'international movies' 'thrillers'] adrian titieni elena purea judith state valeriu andriuță tudor smoleanu virgil aioanei radu botar petronela grigorescu bogdan nechifor cristian bota daniel sandu when his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing — and risk everything — to find him. movie
36,s37,movie,The Stronghold,cédric jimenez,gilles lellouche  karim leklou  françois civil  adèle exarchopoulos  kenza fortas  cyril lecomte  michaël abiteboul  idir azougli  vincent darmuzey  jean-yves berteloot,Unknown,2021-09-17,2021,TV-MA,105 min,['action & adventure'  'dramas'  'international movies'],tired of the small-time grind  three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask.,2021,September,17,105.0,min,['action & adventure' 'dramas' 'international movies'] ['action & adventure' 'dramas' 'international movies'] gilles lellouche karim leklou françois civil adèle exarchopoulos kenza fortas cyril lecomte michaël abiteboul idir azougli vincent darmuzey jean-yves berteloot cédric jimenez tired of the small-time grind three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask. movie
37,s38,tv show,Angry Birds,unknown,antti pääkkönen  heljä heikkinen  lynne guaglione  pasi ruohonen  rauno ahonen,Finland,2021-09-16,2018,TV-Y7,1 Season,"[""kids' tv""  'tv comedies']",birds red  chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.,2021,September,16,1.0,Season,"[""kids' tv"" 'tv comedies'] [""kids' tv"" 'tv comedies'] antti pääkkönen heljä heikkinen lynne guaglione pasi ruohonen rauno ahonen unknown birds red chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal. tv show"
38,s39,movie,Birth of the Dragon,george nolfi,billy magnussen  ron yuan  qu jingjing  terry chen  vanness wu  jin xing  philip ng  xia yu  yu xia,China,2021-09-16,2017,PG-13,96 min,['action & adventure'  'dramas'],a young bruce lee angers kung fu traditionalists by teaching outsiders  leading to a showdown with a shaolin master in this film based on real events.,2021,September,16,96.0,min,['action & adventure' 'dramas'] ['action & adventure' 'dramas'] billy magnussen ron yuan qu jingjing terry chen vanness wu jin xing philip ng xia yu yu xia george nolfi a young bruce lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a shaolin master in this film based on real events. movie
39,s40,tv show,Chhota Bheem,unknown,vatsal dubey  julie tejwani  rupa bhimani  jigna bhardwaj  rajesh kava  mousam  swapnil,India,2021-09-16,2021,TV-Y7,3 Seasons,"[""kids' tv""]",a brave  energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil.,2021,September,16,3.0,Seasons,"[""kids' tv""] [""kids' tv""] vatsal dubey julie tejwani rupa bhimani jigna bhardwaj rajesh kava mousam swapnil unknown a brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil. tv show"
40,s41,tv show,He-Man and the Masters of the Universe,unknown,yuri lowenthal  kimberly brooks  antony del rio  trevor devall  ben diskin  grey griffin  david kaye  tom kenny  judy alice lee  roger craig smith  fred tatasciore,United States,2021-09-16,2021,TV-Y7,1 Season,"[""kids' tv""  'tv sci-fi & fantasy']",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull — and their destiny to defend eternia from sinister skeletor.,2021,September,16,1.0,Season,"[""kids' tv"" 'tv sci-fi & fantasy'] [""kids' tv"" 'tv sci-fi & fantasy'] yuri lowenthal kimberly brooks antony del rio trevor devall ben diskin grey griffin david kaye tom kenny judy alice lee roger craig smith fred tatasciore unknown mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull — and their destiny to defend eternia from sinister skeletor. tv show"
